PRD0900725;994106500000895;5
PRD0901527;994106500000895;4
PRD0901977;994106500000895;6
PRD0902163;994106500000895;2
PRD0902394;994106500000895;2
PRD0902411;994106500000895;6
PRD0903336;994106500000895;9
PRD0903389;994106500000895;10
PRD0903395;994106500000895;1
PRD0901369;994106500000895;5
PRD0902129;994106500000895;2
PRD0901168;994106500000895;4
PRD0902479;994106500001026;9
PRD0903788;994106500001026;4
PRD0903819;994106500001026;8
PRD0904184;994106500001026;9
PRD0900280;994106500001026;2
PRD0901441;994106500001039;1
PRD0903199;994106500001039;3
PRD0904358;994106500001039;7
PRD0904780;994106500001039;2
PRD0904888;994106500001039;8
PRD0904184;994106500001039;6
PRD0900454;994106500001083;3
PRD0900700;994106500001083;3
PRD0902405;994106500001083;1
PRD0903127;994106500001083;6
PRD0903463;994106500001083;7
PRD0903788;994106500001083;4
PRD0904363;994106500001083;4
PRD0900384;994106500001253;7
PRD0900400;994106500001253;10
PRD0900830;994106500001253;5
PRD0901133;994106500001253;8
PRD0901194;994106500001253;4
PRD0901860;994106500001253;9
PRD0901965;994106500001253;5
PRD0902008;994106500001253;7
PRD0902265;994106500001253;3
PRD0902767;994106500001253;2
PRD0902801;994106500001253;2
PRD0902969;994106500001253;5
PRD0902970;994106500001253;4
PRD0903523;994106500001253;6
PRD0903925;994106500001253;3
PRD0903940;994106500001253;1
PRD0903993;994106500001253;6
PRD0904434;994106500001253;3
PRD0904511;994106500001253;1
PRD0904615;994106500001253;9
PRD0903639;994106500001253;6
PRD0901499;994106500001253;4
PRD0903270;994106500001744;3
PRD0904663;994106500001744;6
PRD0904917;994106500001744;3
PRD0902817;994106500001817;6
PRD0900218;994106500002304;5
PRD0902968;994106500002304;2
PRD0903229;994106500002304;1
PRD0903787;994106500002304;9
PRD0904358;994106500002304;4
PRD0904469;994106500002304;5
PRD0904945;994106500002304;8
PRD0901348;994106500002304;2
PRD0903678;994106500002304;9
PRD0900218;994106500002586;5
PRD0901802;994106500002586;8
PRD0903988;994106500002586;5
PRD0904857;994106500002586;10
PRD0904881;994106500002586;5
PRD0901338;994106500002621;8
PRD0904248;994106500002621;2
PRD0900254;994106500002776;1
PRD0904434;994106500002776;2
PRD0901007;994106500003202;9
PRD0902118;994106500003202;2
PRD0901506;994106500003545;5
PRD0901219;994106500003554;7
PRD0901809;994106500003554;2
PRD0903211;994106500003554;1
PRD0904441;994106500003554;9
PRD0904444;994106500003554;10
PRD0900162;994106500003554;3
PRD0903437;994106500003554;1
PRD0904366;994106500003554;6
PRD0903703;994106500003554;7
PRD0904797;994106500003554;5
PRD0900173;994106500003612;5
PRD0901003;994106500003612;2
PRD0900332;994106500003915;1
PRD0902140;994106500003915;6
PRD0903788;994106500003915;9
PRD0900296;994106500003936;9
PRD0900302;994106500003936;3
PRD0900407;994106500003936;2
PRD0902069;994106500003936;7
PRD0902540;994106500003936;4
PRD0903053;994106500003936;1
PRD0903093;994106500003936;3
PRD0903214;994106500003936;5
PRD0903270;994106500003936;4
PRD0904679;994106500003936;4
PRD0904878;994106500003936;8
PRD0900745;994106500004120;5
PRD0900465;994106500004322;2
PRD0900907;994106500004361;5
PRD0904209;994106500004361;7
PRD0900034;994106500004371;8
PRD0900078;994106500004371;6
PRD0900713;994106500004371;3
PRD0900761;994106500004371;7
PRD0900997;994106500004371;3
PRD0901837;994106500004371;6
PRD0902099;994106500004371;3
PRD0902603;994106500004371;6
PRD0902852;994106500004371;1
PRD0903007;994106500004371;2
PRD0903078;994106500004371;1
PRD0903228;994106500004371;6
PRD0903270;994106500004371;7
PRD0903560;994106500004371;7
PRD0903835;994106500004371;2
PRD0904358;994106500004371;6
PRD0904391;994106500004371;6
PRD0900168;994106500004371;8
PRD0901228;994106500004697;5
PRD0902840;994106500004697;9
PRD0903750;994106500004697;6
PRD0901877;994106500004697;5
PRD0900027;994106500004819;3
PRD0900463;994106500004819;7
PRD0900676;994106500004819;3
PRD0900899;994106500004819;4
PRD0901083;994106500004819;8
PRD0901265;994106500004819;7
PRD0901584;994106500004819;7
PRD0902019;994106500004819;8
PRD0902365;994106500004819;10
PRD0902390;994106500004819;2
PRD0902408;994106500004819;7
PRD0902897;994106500004819;8
PRD0902907;994106500004819;8
PRD0903052;994106500004819;9
PRD0903529;994106500004819;5
PRD0904092;994106500004819;5
PRD0904469;994106500004819;7
PRD0904945;994106500004819;7
PRD0902129;994106500004819;2
PRD0904340;994106500004819;2
PRD0901070;994106500004838;6
PRD0901316;994106500004838;3
PRD0901699;994106500004838;3
PRD0901983;994106500004838;7
PRD0903571;994106500004838;6
PRD0903612;994106500004838;2
PRD0904371;994106500004838;5
PRD0904418;994106500004838;1
PRD0904817;994106500004838;4
PRD0902679;994106500004838;5
PRD0900907;994106500004863;1
PRD0903487;994106500004863;1
PRD0900265;994106500004877;3
PRD0900838;994106500004877;6
PRD0901152;994106500004877;7
PRD0901255;994106500004877;10
PRD0902347;994106500004877;6
PRD0903184;994106500004877;3
PRD0904183;994106500004877;5
PRD0900493;994106500004877;5
